time,"P(BJS|XBQ)","V(BJS|XBQ)","I(BJS|XBQ)","P(BJL1|XBQ)","V(BJL1|XBQ)","I(BJL1|XBQ)","P(BJL2|XBQ)","V(BJL2|XBQ)","I(BJL2|XBQ)","I(I_IN)","I(I_IBIAS)","V(IN)","V(OUT)","I(R_LOAD)","I(LIN|XBQ)","I(L0|XBQ)","I(L1|XBQ)","I(L2|XBQ)","I(RB|XBQ)","I(RJ1|XBQ)","I(RJ2|XBQ)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,0.000000e+00,0.000000e+00,0.000000e+00,8.570818e-04,4.231061e-06,1.608861e-06,5.499679e-04,2.714966e-06,1.548549e-06,0.000000e+00,3.500000e-06,4.231061e-06,9.096886e-07,9.096886e-08,0.000000e+00,9.096886e-08,-1.737075e-06,1.762925e-06,3.500000e-06,1.282140e-07,1.234075e-07
2.000000e-13,0.000000e+00,0.000000e+00,0.000000e+00,3.834203e-03,1.328647e-05,3.038002e-06,2.423319e-03,8.342979e-06,2.819956e-06,0.000000e+00,7.000000e-06,1.328647e-05,3.601949e-06,3.601949e-07,0.000000e+00,3.601949e-07,-3.440623e-06,3.559377e-06,7.000000e-06,4.026203e-07,3.792263e-07
3.000000e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.020306e-02,2.654150e-05,4.283406e-06,6.346456e-03,1.628426e-05,3.827306e-06,0.000000e+00,1.050000e-05,2.654150e-05,8.448067e-06,8.448067e-07,0.000000e+00,8.448067e-07,-5.087694e-06,5.412306e-06,1.050000e-05,8.042878e-07,7.401936e-07
4.000000e-13,0.000000e+00,0.000000e+00,0.000000e+00,2.101526e-02,4.289526e-05,5.357315e-06,1.286920e-02,2.574445e-05,4.640867e-06,0.000000e+00,1.400000e-05,4.289526e-05,1.531759e-05,1.531759e-06,0.000000e+00,1.531759e-06,-6.657171e-06,7.342829e-06,1.400000e-05,1.299856e-06,1.170202e-06
5.000000e-13,0.000000e+00,0.000000e+00,0.000000e+00,3.699332e-02,6.108529e-05,6.282064e-06,2.233574e-02,3.599911e-05,5.353560e-06,0.000000e+00,1.750000e-05,6.108529e-05,2.376983e-05,2.376983e-06,0.000000e+00,2.376983e-06,-8.133134e-06,9.366866e-06,1.750000e-05,1.851069e-06,1.636323e-06
6.000000e-13,0.000000e+00,0.000000e+00,0.000000e+00,5.849438e-02,7.984956e-05,7.087712e-06,3.490878e-02,4.649042e-05,6.053794e-06,0.000000e+00,2.100000e-05,7.984956e-05,3.325609e-05,3.325609e-06,0.000000e+00,3.325609e-06,-9.507396e-06,1.149260e-05,2.100000e-05,2.419684e-06,2.113201e-06
7.000000e-13,0.000000e+00,0.000000e+00,0.000000e+00,8.551954e-02,9.803147e-05,7.810301e-06,5.061298e-02,5.683587e-05,6.809657e-06,0.000000e+00,2.450000e-05,9.803147e-05,4.325942e-05,4.325942e-06,0.000000e+00,4.325942e-06,-1.078095e-05,1.371905e-05,2.450000e-05,2.970650e-06,2.583449e-06
8.000000e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.177537e-01,1.146561e-04,8.489682e-06,6.937821e-02,6.679452e-05,7.663537e-06,0.000000e+00,2.800000e-05,1.146561e-04,5.336239e-05,5.336239e-06,0.000000e+00,5.336239e-06,-1.196411e-05,1.603589e-05,2.800000e-05,3.474427e-06,3.036115e-06
9.000000e-13,0.000000e+00,0.000000e+00,0.000000e+00,1.546265e-01,1.289839e-04,9.166740e-06,9.107307e-02,7.621987e-05,8.634080e-06,0.000000e+00,3.150000e-05,1.289839e-04,6.326039e-05,6.326039e-06,0.000000e+00,6.326039e-06,-1.307534e-05,1.842466e-05,3.150000e-05,3.908602e-06,3.464539e-06
